# index, _pos
152,"array([157.97638258,  36.8910922 ])"
153,"array([ 30.33078227, -47.74949081])"
154,"array([ 33.82943622, -18.25351592])"
155,"array([37.45220256,  8.86733912])"
156,"array([29.27336942,  7.6902013 ])"
157,"array([ 36.45865307, -24.04290748])"
158,"array([ 40.94660779, -45.31244994])"
159,"array([40.446537  ,  9.18935944])"
160,"array([32.86870472, -2.40237448])"
161,"array([25.77367489, 36.39655231])"
162,"array([55.41549621, 38.90156031])"
163,"array([28.46146447, 17.97207992])"
164,"array([ 43.26212854, -11.60878416])"
165,"array([ 79.59573772, -45.42414065])"
166,"array([ 76.50939178, -10.97913487])"
167,"array([127.11617272, -30.63159528])"
168,"array([94.02520446, 23.08012875])"
169,"array([36.73097583, -1.33332093])"
170,"array([55.90562953, 58.59581822])"
171,"array([37.38998054, 63.01361941])"
172,"array([35.68359451,  2.59850894])"
173,"array([25.68177511, -2.50920558])"
174,"array([32.32547844, -8.64578313])"
175,"array([39.96014938, -3.6357879 ])"
176,"array([44.21838435, 18.14230122])"
177,"array([92.67910554, 71.28141383])"
178,"array([54.59224064, 56.7533858 ])"
179,"array([85.32198141, 79.07586984])"
180,"array([-9.8388733 , 74.67253161])"
181,"array([-42.32128289, 109.49672546])"
182,"array([35.6012226 , -0.99081172])"
183,"array([25.03080006,  5.36026368])"
184,"array([18.07146484, 16.10593083])"
185,"array([33.71216616,  1.58147229])"
186,"array([21.07185748, -5.82533775])"
187,"array([31.64585391, -7.63578427])"
188,"array([28.4887216 , -2.35004912])"
189,"array([-11.04574386, -68.17422352])"
190,"array([ -34.57777979, -113.31253878])"
191,"array([17.19551385, -1.97452007])"
192,"array([30.69898898, -0.63936414])"
193,"array([26.28558176,  2.91522841])"
194,"array([108.07109871, -98.49404604])"
195,"array([ 130.90053389, -137.3272636 ])"
196,"array([ 14.18297541, 111.79906972])"
197,"array([ 1.80509199, 34.98533553])"
198,"array([-19.44665513,  37.72123929])"
199,"array([45.93622374, 31.21214402])"
200,"array([37.40826798, -3.21834118])"
201,"array([ 0.44808139, -7.27049575])"
202,"array([ 57.9697799 , 160.01370565])"
203,"array([44.2319387 , 26.04535503])"
204,"array([42.07239004, 13.52897205])"
205,"array([17.20647092, -9.77104133])"
206,"array([46.82961416, 26.79106867])"
207,"array([ 12.52781394, 117.76016175])"
208,"array([ 54.88517651, -61.07824556])"
209,"array([ 88.23742714, -96.16903556])"
210,"array([ 59.65042739, -89.14986314])"
211,"array([ 63.19991273, 108.10256229])"
212,"array([18.35470341, -9.45992197])"
213,"array([ 17.07973765, -20.32806599])"
214,"array([ 37.11020643, 121.02998483])"
215,"array([30.37893329,  2.30383595])"
216,"array([ 22.45897931, -27.77161582])"
217,"array([23.435973  , 47.96777139])"
218,"array([ 6.44461248, 51.95184194])"
219,"array([40.01758338, 38.20321772])"
220,"array([37.57822311, 15.29552513])"
221,"array([30.43309411, -3.70641988])"
222,"array([62.58865815, 72.83466789])"
223,"array([28.13587912,  9.49406341])"
224,"array([27.26175728, -4.93188709])"
225,"array([ 67.45277908, -17.6908623 ])"
226,"array([ 93.17633227, -32.17534455])"
227,"array([120.21070718,  -5.8510589 ])"
228,"array([124.96402076,  -8.42262229])"
229,"array([19.63764574, 30.66909423])"
230,"array([-9.17919818, 62.28793727])"
231,"array([41.63991158, 19.64594404])"
232,"array([ 29.07949393, -12.76071472])"
233,"array([33.86424967, -8.23793946])"
234,"array([26.90019772, -9.3433745 ])"
235,"array([13.96285759, 86.4396704 ])"
236,"array([ 37.93106962, -19.77320311])"
237,"array([32.43525012, -3.14767295])"
238,"array([-13.01188901, -76.82742813])"
239,"array([ -7.62224761, -90.93703555])"
